yyyymm,CI_先行指数,CI_一致指数,CI_遅行指数,DI_先行指数,DI_一致指数,DI_遅行指数
202208,114.1,115.0,103.7,63.6,70.0,94.4
202209,111.7,114.5,104.1,31.8,60.0,55.6
202210,111.5,113.9,104.2,45.5,40.0,77.8
202211,111.0,113.9,104.7,36.4,40.0,61.1
202212,109.9,113.3,104.4,45.5,30.0,66.7
202301,109.1,112.9,105.9,45.5,50.0,77.8
202302,109.5,114.6,105.7,54.5,30.0,66.7
202303,109.3,114.7,105.8,54.5,65.0,66.7
202304,109.1,114.7,106.1,36.4,80.0,44.4
202305,110.1,115.3,106.6,40.9,40.0,66.7
202306,110.4,115.2,106.8,72.7,50.0,61.1
202307,110.1,115.0,106.4,54.5,35.0,61.1
202308,110.8,115.2,106.6,54.5,30.0,44.4
202309,110.6,115.6,107.0,45.5,50.0,72.2
202310,109.8,115.6,107.5,27.3,60.0,77.8
